,objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,primaryImage
131,39540,Two eagles,Bada Shanren (Zhu Da),dated 1702,China,China,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-19468-002.jpg
132,39542,Riverbank,Dong Yuan,Unknown time period,China,China,Unknown time period,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13074-006.jpg
133,39543,Palace banquet,Unidentified artist,Unknown time period,China,China,Unknown time period,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13657-002.jpg
134,39546,Bamboo after Wen Tong,Ke Jiusi,dated 1343,China,China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT2770.jpg
135,39547,"Bamboo, old tree, and rock",Wu Zhen,dated 1338,China,China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235590.jpg
136,39548,Rocky Landscape with Pines,Zhang Xun,before 1346,China,China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP249730.jpg
137,39549,Traveling through Snow-Covered Mountains,Yao Yanqing (Tingmei),Unknown time period,China,China,Unknown time period,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235585.jpg
138,39550,The Simple Retreat,Wang Meng,ca. 1370,China,China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP274196.jpg
139,39551,Mandarin ducks and cotton rose hibiscus,Lü Ji,late 15th century,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-16766-002.jpg
140,39552,Remonstrating with the emperor,Liu Jun,late 15th–early 16th century,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-19328-002.jpg
141,39553,Drunken recluse beneath an old tree,Chen Zihe,early 16th century,China,China,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-19329-002.jpg
142,39556,Joint Landscape,Shen Zhou,ca. 1509 and 1546,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235702_CRD.jpg
143,39641,Ink Making,Unidentified artist,early 19th century,China,China,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/ASA38.jpg
144,39651,Equestrian Portrait of a Noble,Bakhta,ca. 1775,"India (Rajasthan, Devgarh)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156154.jpg
145,39654,Garden of the Inept Administrator,Wen Zhengming,1551,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235628_CRD.jpg
146,39667,The Scholar Fu Sheng Transmitting the Book of Documents,Du Jin,15th–mid-16th century,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP274148.jpg
147,39668,"Old Trees, Level Distance",Guo Xi,ca. 1080,China,China,1000's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP167812_CRD.jpg
148,39669,Taima Mandala,Unidentified artist,14th century,Japan,Japan,1400's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15580-009.jpg
149,39714,View of a Garden Villa,Yuan Jiang,18th century (?),China,China,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP204937_CRD.jpg
150,39725,Three Girls on a Riverbank,Torii Kiyonaga,early 19th century,Japan,Japan,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP142183.jpg
151,39764,Ink Play,Jin Nong,dated 1754,China,China,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4237.jpg
152,39767,Grooms and Foreign Horses,Jin Nong,17th–18th century,China,China,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/ASA96.jpg
153,39810,Bird peddler,Unidentified artist,late 15th–early 16th century,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT271148.jpg
154,39881,Amitabha and Kshitigarba,Unidentified artist,first half of the 14th century,South Korea,South Korea,1400's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13944-002.jpg
